id;description;def
1107826182589137;"#PEGIDA #SchautHin #GrenzenDicht #FestungEuropa #AufDieStraße #FortressEurope



Linke Gewalttäter aus #Italien rasteten gestern am #Brenner gegen Österreichs geplante Grenzkontrollen wieder komplett aus! 



Was hier in unseren Breitengraden grad abgeht, ist abnormal! 



Ohne diese Linksterroristen #Schlägertrupps hätten wir die meisten Probleme jetzt nicht im Land. 



Die werden ja auch immer gegenüber PEGIDA gewalttätig und sind der Grund warum sich viele nicht auf Demos im Westen trauen ? 

Linksfaschisten schützen Islamisten ? Sieht man wieder im Video ? wollen Weg für #Flüchtlinge freischlagen.";FALSE
1069527479752341;https://www.youtube.com/watch?v=OoV_gsbYcxI - Crystal Meth - Hell of a drug. Schmeißt die Junkies raus.;FALSE
856746994363725;"Steuersäckchen in Dresden leer, dass es nur zur Finanzierung von 5000 ""Gegendemonstranten"" (Linksnazis&Grünfaschisten) gereicht hat? ? ? ? ?? ?? ?? ?? ?? ?? ?? ??";FALSE
862054930499598;[@IND] banause ...du hast wirklich keine ahnung, mir ist das sehr oft untergekommen, jetzt arbeite ich wieder in dresden da ist es nicht so schlimm, aber man kann ja bischen vorbeugen wir gehen ja für deutschland auf die strasse und im übrigen habe ich hier samstags auch schon burkas im einkaufszenter gesehen, das nervt  wenn diese fanatiker von uns erwarten das wir unsere kreuze abnehmen, erwarte ich erstmal das abnehmen ihrer albernen kopfwindeln;FALSE
858369210868170;Leiber x-Asylanten, als so hässliche Deutsche wie Rene;FALSE
960864323951991;Jasmin, die sind nicht belegt, die sind baufällig, weil alles Geld in die Asylindustrie geht.;FALSE
858165320888559;Hm dümmste Rede der Welt ist klar das das deutsche volk keine Nazis sind das muss kein jude der extra aus israel anreist euch sagen und das die Muslime euch das Land klauen ist der größte Bulldozer er sagt es doch selber deine jüdische Familie lebt seit 700 Jahren oder ner in Deutschland ja gibt es da ein da Seins recht es gibt Millionen Muslime die jetzt auch schon seit 40 Jahren oder mehr leben hier geborene Muslime und so also irgendwie wiedersprüchlich wogegen ihr hetzt Angst davor das wir euch euer Land nehmen eure Kultur oder Religion die gleiche Gefahr kann doch auch von juden bodisten oder anderen Gruppen ausgehen ich finde pegida sind einfach ganz dumme verstrahlte Menschen die sich von rtl und Co leiten lassen und zu dumm sind sich mal selbst über die Lage auf dieser Welt schlau zu machen;FALSE
1096045350433887;Nun sehen und hören wir wie und wozu diese Unholde Kinder  missbrauchen. Ich will nicht dass diese .... in unser Land kommen dürfen.;FALSE
925648117473612;"Christoph.....Zitat:""Was wollt ihr eigentlich? Angeblich ist pegida nicht rechts, und doch hängt ihr wie besoffen der Hetze von FPÖ, DVU, AfD und NPD nach. Ihr habts damit nun mal vergeigt, beim allerallergrößten Teil der Deutschen. Die wollen sowas nämlich nich :D""           Damit hast du dir aber ein Eigentor in Sachen ""du hast Ahnung von PEGIDA "" geschossen. Du hast 0 Ahnung! Pegida distanziert sich von NPD,AfD, DVU eigentlich einfach ausgedrückt, von rechts. Wir sind nicht angeblich gegen rechts, wir sind gegen rechts, gegen Nazis und...gegen gewaltbereite Andersdenkende, seien es die Antifanten oder die radikalen unter den Gläubigen. Wir hängen niemanden nach und wollen auch nichts mit den Programmen der rechten Parteien zu tun haben. Aber wer nicht links von der CDU ist , ist eben rechts, nichtswissender, Medienanhechelnder, unfähig zum selbstdenken-der Gutmensch. Und wer hier gewaltbereit und besoffen ist, kannst du dir hier in Dresden in der achso bunten Neustadt gerne mal anschauen. Und willst du noch was aufregendes erleben, ziehe dir mal ein T-Shirt mit Aufschrift PEGIDA an, das gleich machst du dann Montags mit Antifanten T-Shirts neben der Pegida Veranstaltung. Dann hast du den persönlichen Toleranz-Vergleich, wenn du von der Neustadt noch lebendig heraus kommst. Träume einfach weiter in deiner heilen Welt.";FALSE
987854411252982;Nicht anfragen...den.rest des volks fragt ihr auch nicht! Also rein mit den asylanten.da und genießt eure willkommenskultur die ihr wolltet...so ekelhaft das ganze linke deutschland hassende pack;FALSE
